architecture,compiler,optimization,label,num_basic_blocks,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
x86,gcc,O3,SHA-256,4,5,0,0,0.0,7.5,30,1.3095051270032196,0.1211142993782879,1,90,1.7142857142857142,0.0955882352941176,0.1102941176470588,0.1470588235294117,0.0073529411764705,0.0147058823529411,0.0,1,1,0,0,0,0,8,15,1,28,0.1470588235294117,4.617502258236515,2.7648439131690146,0.1666666666666666,19
x86,gcc,O3,SHA-256,1,3,0,0,0.0,13.0,13,1.5655364617231586,0.1034482758620689,1,32,0.0,0.0862068965517241,0.1034482758620689,0.1724137931034483,0.0,0.0,0.0,1,1,0,0,0,0,8,6,0,13,0.1724137931034483,4.101712212208017,2.7608554253801416,0.2307692307692307,9
x86,gcc,O3,SHA-256,1,3,0,0,0.0,13.0,13,1.565536461723159,0.1034482758620689,1,32,0.0,0.0862068965517241,0.1034482758620689,0.1724137931034483,0.0,0.0,0.0,1,1,0,0,0,0,8,6,0,13,0.1724137931034483,4.101712212208017,2.7608554253801416,0.2307692307692307,9
x86,gcc,O3,SHA-256,3,5,0,0,0.0,6.333333333333333,19,1.355741314216549,0.1626916037520018,1,80,1.6666666666666667,0.0531914893617021,0.1702127659574468,0.0957446808510638,0.0106382978723404,0.0,0.0,1,1,0,0,0,0,8,16,1,14,0.0957446808510638,4.354627998753123,2.5665732920767854,0.2631578947368421,15
x86,gcc,O3,SHA-256,3,5,0,0,0.0,6.333333333333333,19,1.355741314216549,0.1626916037520018,1,80,1.6666666666666667,0.0531914893617021,0.1702127659574468,0.0957446808510638,0.0106382978723404,0.0,0.0,1,1,0,0,0,0,8,16,1,14,0.0957446808510638,4.390991635116758,2.5665732920767854,0.2631578947368421,15
x86,gcc,O3,SHA-256,3,4,0,0,0.0,6.666666666666667,20,1.368783843072235,0.158625730994152,1,92,1.4,0.0833333333333333,0.1666666666666666,0.0925925925925925,0.0,0.0,0.0,1,1,0,0,0,0,12,18,0,16,0.0925925925925925,4.358973023492023,2.5751982666716264,0.2,16
x86,gcc,O3,SHA-256,6,7,2,2,0.1818181818181818,4.0,24,1.1936884807668866,0.1932074813172374,1,108,1.4545454545454546,0.072,0.168,0.104,0.008,0.0,0.0,1,1,0,0,0,0,20,21,1,18,0.104,4.722911155004208,2.607752594234555,0.2916666666666667,20
x86,gcc,O3,SHA-256,6,7,2,2,0.1818181818181818,4.0,24,1.1877811296025615,0.1932074813172374,1,108,1.4545454545454546,0.072,0.168,0.104,0.008,0.0,0.0,1,1,0,0,0,0,20,21,1,18,0.104,4.72919609084617,2.607752594234555,0.2916666666666667,20
x86,gcc,O3,SHA-256,3,4,0,0,0.0,6.666666666666667,20,1.368783843072235,0.158625730994152,1,92,1.4,0.0833333333333333,0.1666666666666666,0.0925925925925925,0.0,0.0,0.0,1,1,0,0,0,0,12,18,0,16,0.0925925925925925,4.422300049359336,2.5751982666716264,0.2,16
x86,gcc,O3,SHA-256,1,1,0,0,0.0,9.0,9,1.4090542141729596,0.0,1,10,0.0,0.1707317073170731,0.0,0.2195121951219512,0.0,0.048780487804878,0.0,1,1,0,0,0,0,4,0,0,14,0.2195121951219512,3.884183719779189,2.622694776094712,0.1111111111111111,7
x86,gcc,O3,SHA-256,16,28,11,11,0.2619047619047619,11.0625,177,1.480182896181809,0.1232346498386545,1,570,2.261904761904762,0.0894607843137254,0.1409313725490196,0.1446078431372549,0.0036764705882352,0.0024509803921568,0.0024509803921568,1,1,0,0,0,0,560,117,5,149,0.1446078431372549,5.572959942038192,2.699736776394974,0.1581920903954802,59
x86,gcc,O3,SHA-256,19,14,6,6,0.1935483870967742,3.0526315789473686,58,0.976256971259382,0.1453743580162131,1,222,1.1290322580645162,0.0625,0.1583333333333333,0.0916666666666666,0.0041666666666666,0.0,0.0,1,1,0,0,0,0,20,38,1,29,0.0916666666666666,5.422545850765818,2.2681701933635487,0.2413793103448276,34
x86,gcc,O3,SHA-256,14,11,2,2,0.0869565217391304,3.5,49,1.068057407120561,0.1460512774175013,1,184,1.2173913043478262,0.1062801932367149,0.144927536231884,0.1062801932367149,0.0,0.0,0.0,1,1,0,0,0,0,20,30,0,29,0.1062801932367149,5.345112604903499,2.2588216420007763,0.2244897959183673,24
arm32,gcc,O2,SHA-256,1,1,0,0,0.0,1243.0,1243,1.0367284413858626,0.2714285714285714,1,3348,0.0,0.1094684385382059,0.1073089700996677,0.0566445182724252,0.0518272425249169,0.0,0.1122923588039867,1,1,0,0,0,0,128,1322,988,894,0.0566445182724252,6.239135210250497,2.50356083658701,0.0008045052292839,173
arm32,gcc,O2,SHA-256,3,2,0,0,0.0,9.333333333333334,28,1.0544641420238203,0.127891156462585,1,56,0.0,0.1181818181818181,0.1363636363636363,0.1545454545454545,0.0,0.0,0.0454545454545454,1,1,0,0,0,0,0,20,5,17,0.1545454545454545,5.623711847624728,2.5424229998269348,0.0714285714285714,22
